SID,Grade,Dropdown,When,Referrer Name,Task Owner
861289485,80,Lab3,30-May-2017 03:08 PM,,aocalderon.ucr@gmail.com
861286402,100,Lab3,26-May-2017 05:34 PM,,aocalderon.ucr@gmail.com
861296110,100,Lab3,26-May-2017 05:32 PM,,aocalderon.ucr@gmail.com
861276697,90,Lab3,26-May-2017 05:20 PM,,aocalderon.ucr@gmail.com
861265749,80,Lab3,26-May-2017 05:20 PM,,aocalderon.ucr@gmail.com
861092659,95,Lab3,26-May-2017 05:12 PM,,aocalderon.ucr@gmail.com
861291699,100,Lab3,26-May-2017 05:05 PM,,aocalderon.ucr@gmail.com
861273076,100,Lab3,26-May-2017 05:03 PM,,aocalderon.ucr@gmail.com
861266788,90,Lab3,26-May-2017 04:59 PM,,aocalderon.ucr@gmail.com
861298725,95,Lab3,26-May-2017 04:53 PM,,aocalderon.ucr@gmail.com
861267416,90,Lab3,26-May-2017 04:50 PM,,aocalderon.ucr@gmail.com
861293900,100,Lab3,26-May-2017 04:48 PM,,aocalderon.ucr@gmail.com
861145231,90,Lab3,26-May-2017 04:46 PM,,aocalderon.ucr@gmail.com
861290948,100,Lab3,26-May-2017 04:43 PM,,aocalderon.ucr@gmail.com
861277143,100,Lab3,26-May-2017 04:40 PM,,aocalderon.ucr@gmail.com
861292498,100,Lab3,26-May-2017 04:37 PM,,aocalderon.ucr@gmail.com
861222121,100,Lab3,26-May-2017 04:36 PM,,aocalderon.ucr@gmail.com
861270882,100,Lab3,26-May-2017 04:33 PM,,aocalderon.ucr@gmail.com
861260659,100,Lab3,26-May-2017 04:30 PM,,aocalderon.ucr@gmail.com
861298729,100,Lab3,26-May-2017 04:28 PM,,aocalderon.ucr@gmail.com
861283703,100,Lab3,26-May-2017 04:26 PM,,aocalderon.ucr@gmail.com
861266657,100,Lab3,26-May-2017 04:24 PM,,aocalderon.ucr@gmail.com
861262807,100,Lab3,26-May-2017 04:23 PM,,aocalderon.ucr@gmail.com
861274294,90,Lab3,26-May-2017 04:21 PM,,aocalderon.ucr@gmail.com
861286254,75,Lab3,26-May-2017 04:18 PM,,aocalderon.ucr@gmail.com
861275485,100,Lab3,26-May-2017 04:16 PM,,aocalderon.ucr@gmail.com
861288361,100,Lab3,26-May-2017 04:14 PM,,aocalderon.ucr@gmail.com
861271677,100,Lab3,26-May-2017 04:10 PM,,aocalderon.ucr@gmail.com
861298014,95,Lab3,26-May-2017 04:08 PM,,aocalderon.ucr@gmail.com
861285564,95,Lab3,26-May-2017 04:06 PM,,aocalderon.ucr@gmail.com
861263908,100,Lab3,26-May-2017 04:05 PM,,aocalderon.ucr@gmail.com
861285962,90,Lab3,25-May-2017 04:51 PM,,aocalderon.ucr@gmail.com
861272145,80,Lab3,25-May-2017 03:49 PM,,aocalderon.ucr@gmail.com
861272010,85,Lab3,25-May-2017 03:15 PM,,aocalderon.ucr@gmail.com
861273841,90,Lab3,25-May-2017 03:10 PM,,aocalderon.ucr@gmail.com
861258733,90,Lab3,22-May-2017 06:42 PM,,aocalderon.ucr@gmail.com
861172045,100,Lab3,22-May-2017 06:38 PM,,aocalderon.ucr@gmail.com
861258415,100,Lab3,22-May-2017 06:35 PM,,aocalderon.ucr@gmail.com
861213401,100,Lab3,22-May-2017 06:34 PM,,aocalderon.ucr@gmail.com
861274418,100,Lab3,22-May-2017 06:34 PM,,aocalderon.ucr@gmail.com
861271846,100,Lab3,,,aocalderon.ucr@gmail.com
861098676,100,Lab3,22-May-2017 05:48 PM,,aocalderon.ucr@gmail.com
861103093,100,Lab3,22-May-2017 05:47 PM,,aocalderon.ucr@gmail.com
861207883,100,Lab3,22-May-2017 05:46 PM,,aocalderon.ucr@gmail.com
861241595,100,Lab3,22-May-2017 05:45 PM,,aocalderon.ucr@gmail.com
861277784,100,Lab3,22-May-2017 05:42 PM,,aocalderon.ucr@gmail.com
861292516,100,Lab3,22-May-2017 05:40 PM,,aocalderon.ucr@gmail.com
861277085,100,Lab3,22-May-2017 05:39 PM,,aocalderon.ucr@gmail.com
861289235,100,Lab3,22-May-2017 05:37 PM,,aocalderon.ucr@gmail.com
