PFlock,10.0,50K,48302,22.149,5.934,15,17:42:50.657
PFlock,20.0,50K,114320,13.722,5.806,15,17:43:10.244
PFlock,30.0,50K,177689,14.063,5.918,15,17:43:30.252
PFlock,40.0,50K,243587,13.853,5.938,15,17:43:50.064
PFlock,50.0,50K,306855,14.033,6.286,15,17:44:10.409
PFlock,60.0,50K,369868,15.629,6.88,15,17:44:32.944
PFlock,70.0,50K,436962,16.542,7.596,15,17:44:57.103
PFlock,80.0,50K,508482,16.392,8.174,15,17:45:21.697
PFlock,90.0,50K,586632,17.412,9.13,15,17:45:48.260
PFlock,100.0,50K,673410,18.416,9.548,15,17:46:16.246
PFlock,10.0,100K,77924,13.197,4.395,15,17:46:33.862
PFlock,20.0,100K,222035,17.694,6.112,15,17:46:57.686
PFlock,30.0,100K,389003,19.538,7.732,15,17:47:24.971
PFlock,40.0,100K,580094,19.47,9.205,15,17:47:53.663
PFlock,50.0,100K,786519,22.01,10.83,15,17:48:26.522
PFlock,60.0,100K,1009788,23.724,12.082,15,17:49:02.357
PFlock,70.0,100K,1249565,26.317,14.149,15,17:49:42.846
PFlock,80.0,100K,1508566,29.577,16.994,15,17:50:29.437
PFlock,90.0,100K,1791555,31.171,19.08,15,17:51:19.713
PFlock,100.0,100K,2103761,35.095,21.516,15,17:52:16.351
PFlock,10.0,150K,117196,19.417,5.799,15,17:52:41.595
PFlock,20.0,150K,370676,21.566,8.037,15,17:53:11.214
PFlock,30.0,150K,703966,24.298,10.542,15,17:53:46.069
PFlock,40.0,150K,1106639,28.073,13.558,15,17:54:27.720
PFlock,50.0,150K,1554076,31.918,17.39,15,17:55:17.045
PFlock,60.0,150K,2045849,35.687,21.047,15,17:56:13.805
PFlock,70.0,150K,2582209,40.49,25.26,15,17:57:19.576
PFlock,80.0,150K,3165284,47.204,29.704,15,17:58:36.504
PFlock,90.0,150K,3799948,50.091,36.832,15,18:00:03.457
PFlock,100.0,150K,4498683,56.489,43.564,15,18:01:43.530
