"metric","C1","C2","C4","desc","min","max","range","sd","index"
"bpred_bimod.ras_rate.PP",0.9626,0.9628,0.9626," RAS prediction rate (i.e., RAS hits/used RAS)",0.9626,0.9628,0.000199999999999978,0.000115470053837912,0.577350269189626
"dtlb.misses",20885,20885,20900," total number of misses",20885,20900,15,8.66025403784439,0.577350269189626
"dtlb.replacements",20757,20757,20772," total number of replacements",20757,20772,15,8.66025403784439,0.577350269189626
"avg_dcache2_access",0.0428,0.0433,0.0428," avg number accesses of dcache2",0.0428,0.0433,5e-04,0.000288675134594813,0.577350269189626
"avg_dcache2_power_cc1",0.0193,0.0195,0.0193," avg power usage of dcache2_cc1",0.0193,0.0195,0.000199999999999999,0.000115470053837924,0.577350269189626
"avg_dcache2_power_cc2",0.0104,0.0105,0.0104," avg power usage of dcache2_cc2",0.0104,0.0105,0.000100000000000001,5.77350269189632e-05,0.577350269189626
"avg_dcache2_power_cc3",0.0569,0.057,0.0569," avg power usage of dcache2_cc3",0.0569,0.057,0.000100000000000003,5.77350269189642e-05,0.577350269189626
"avg_regfile_power_cc1",1.3823,1.3821,1.343," avg power usage of arch. regfile_cc1",1.343,1.3823,0.0393000000000001,0.022632351476003,0.575886806005165
"icache_power_cc1",161654865.2969,161679335.0043,161654620.0797," total power usage of icache_cc1",161654620.0797,161679335.0043,24714.9246000051,14198.9096394785,0.574507503837399
"icache_power_cc2",161654865.2969,161679335.0043,161654620.0797," total power usage of icache_cc2",161654620.0797,161679335.0043,24714.9246000051,14198.9096394785,0.574507503837399
"fetch_stage_power_cc2",214148026.764,214172496.4714,214147781.5468," total power usage of fetch stage_cc2",214147781.5468,214172496.4714,24714.9246000051,14198.9096394785,0.574507503837399
"itlb.misses",90080,90081,90136," total number of misses",90080,90136,56,32.0468407179241,0.572265012820074
"itlb.replacements",90016,90017,90072," total number of replacements",90016,90072,56,32.0468407179241,0.572265012820074
"LSQ_fcount",12866882,12873175,13072495," cumulative LSQ full count",12866882,13072495,205613,116936.428611162,0.568720988513186
"lsq_latency",2.3233,2.3247,2.3595," avg LSQ occupant latency (cycle's)",2.3233,2.3595,0.0362,0.0205078846625715,0.566516150899765
"LSQ_count",390355415,390623140,396429926," cumulative LSQ occupancy",390355415,396429926,6074511,3432446.26601646,0.565057214649288
"avg_regfile_power_cc2",0.3335,0.3339,0.3249," avg power usage of arch. regfile_cc2",0.3249,0.3339,0.00899999999999995,0.00508461732417821,0.564957480464249
"ifq_full",0.3899,0.3944,0.3942," fraction of time (cycle's) IFQ was full",0.3899,0.3944,0.00449999999999995,0.00254230866208909,0.564957480464248
"bpred_bimod.lookups",28164875,28166130,28164943," total number of bpred lookups",28164875,28166130,1255,705.764124902931,0.562361852512296
"sim_slip",1544030216,1545188473,1563838877," total number of slip cycles",1544030216,1563838877,19808661,11117270.192919,0.561232795741164
"avg_sim_slip",10.6453,10.6533,10.7819," the average slip between issue and retirement",10.6453,10.7819,0.1366,0.0766610722596547,0.561208435282979
"max_cycle_power_cc1",46.9912,46.9582,46.4416," maximum cycle power usage of cc1",46.4416,46.9912,0.549599999999998,0.308227383598536,0.560821294757164
"ruu_latency",6.5821,6.5885,6.6853," avg RUU occupant latency (cycle's)",6.5821,6.6853,0.1032,0.0578236399177131,0.560306588349932
"RUU_count",1105936252,1107051947,1123242983," cumulative RUU occupancy",1105936252,1123242983,17306731,9686049.76235309,0.559669516002363
"dcache2_power_cc1",3164584.0344,3164607.2774,3164609.2144," total power usage of dcache2_cc1",3164584.0344,3164609.2144,25.1800000001676,14.0120270840192,0.556474467193246
