"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_bimod.bpred_addr_rate",0.9609,0.9609,0.9608,0.9608," branch address-prediction rate (i.e., addr-hits/updates)",0.9608,0.9609,9.9999999999989e-05,5.77350269189562e-05,0.577350269189626
"il1.miss_rate",9e-04,9e-04,8e-04,8e-04," miss rate (i.e., misses/ref)",8e-04,9e-04,9.99999999999999e-05,5.77350269189625e-05,0.577350269189626
"dl1.writebacks",10542,10542,10544,10544," total number of writebacks",10542,10544,2,1.15470053837925,0.577350269189626
"RUU_fcount",160894,351969,6909713,7568598," cumulative RUU full count",160894,7568598,7407704,4041194.29581574,0.545539386538088
"ruu_full",0.006,0.0237,0.5865,0.6483," fraction of time (cycle's) RUU was full",0.006,0.6483,0.6423,0.348870925271797,0.543158843642842
"avg_window_power_cc1",1.8263,1.8491,1.978,1.9709," avg power usage of instruction window_cc1",1.8263,1.978,0.1517,0.0795522626956644,0.524405159496799
"bpred_bimod.addr_hits",3660335,3660322,3660276,3660275," total number of address-predicted hits",3660275,3660335,60,31.0590834807897,0.517651391346496
"bpred_bimod.jr_hits",329080,329065,329020,329019," total number of address-predicted hits for JR's",329019,329080,61,31.2089730686545,0.511622509322204
"bpred_bimod.ras_hits.PP",322794,322779,322734,322733," total number of RAS hits",322733,322794,61,31.2089730686545,0.511622509322204
"dl1.misses",42410,42426,42472,42473," total number of misses",42410,42473,63,32.139020935098,0.510143189446
"dl1.replacements",41898,41914,41960,41961," total number of replacements",41898,41961,63,32.139020935098,0.510143189446
"sim_total_loads",6547859,6628724,6816022,6815926," total number of loads executed",6547859,6816022,268163,135534.619841513,0.505418793202316
"rename_power_cc3",2741923.7064,2793303.7859,2919491.5165,2922950.5153," total power usage of rename unit_cc3",2741923.7064,2922950.5153,181026.8089,91142.9864573821,0.503477838510261
"dispatch_stage_power_cc3",2741923.7064,2793303.7859,2919491.5165,2922950.5153," total power usage of dispatch stage_cc3",2741923.7064,2922950.5153,181026.8089,91142.9864573821,0.503477838510261
"ul2.hits",66368,66389,66435,66436," total number of hits",66368,66436,68,34.0098025084926,0.500144154536655
"il1.repl_rate",9e-04,8e-04,8e-04,8e-04," replacement rate (i.e., repls/ref)",8e-04,9e-04,9.99999999999999e-05,5e-05,0.5
"ul2.wb_rate",0.032,0.0322,0.0322,0.0322," writeback rate (i.e., wrbks/ref)",0.032,0.0322,0.000199999999999999,9.99999999999994e-05,0.5
"max_rename_access",1,2,4,4," max number accesses of rename unit",1,4,3,1.5,0.5
"max_window_access",10,12,16,16," max number accesses of instruction window",10,16,6,3,0.5
"max_icache_access",1,2,4,4," max number accesses of icache",1,4,3,1.5,0.5
"max_dcache_access",3,4,4,4," max number accesses of dcache",3,4,1,0.5,0.5
"mem.ptab_miss_rate",0.0025,0.0024,0.0024,0.0024," first level page table miss rate",0.0024,0.0025,1e-04,5.00000000000001e-05,0.5
"sim_total_refs",9099657,9232779,9506933,9509868," total number of loads and stores executed",9099657,9509868,410211,204901.524201871,0.499502753953139
"sim_total_insn",25880851,26317221,27150992,27138716," total number of instructions executed",25880851,27150992,1270141,629555.405997492,0.495657888374198
"total_rename_access",25880851,26317221,27150992,27138716," total number accesses of rename unit",25880851,27150992,1270141,629555.405997492,0.495657888374198
"rename_power_cc2",2704325.621,2749922.5211,2837044.3968,2835761.6607," total power usage of rename unit_cc2",2704325.621,2837044.3968,132718.7758,65783.1081441486,0.495657888249964
"dispatch_stage_power_cc2",2704325.621,2749922.5211,2837044.3968,2835761.6607," total power usage of dispatch stage_cc2",2704325.621,2837044.3968,132718.7758,65783.1081441486,0.495657888249964
"bpred_bimod.retstack_pops",323055,323646,325229,325403," total number of address popped off of ret-addr stack",323055,325403,2348,1162.32077471468,0.495025883609318
"avg_rename_power_cc1",0.4039,0.3887,0.348,0.3433," avg power usage of rename unit_cc1",0.3433,0.4039,0.0606,0.0299554530372463,0.494314406555219
"avg_dispatch_power_cc1",0.4039,0.3887,0.348,0.3433," average power of dispatch unit per cycle_cc1",0.3433,0.4039,0.0606,0.0299554530372463,0.494314406555219
"lsq_full",0.0027,0.0137,0.1021,0.1344," fraction of time (cycle's) LSQ was full",0.0027,0.1344,0.1317,0.0650465154075656,0.493899129897992
"LSQ_fcount",71189,203916,1203233,1568601," cumulative LSQ full count",71189,1568601,1497412,738008.365091876,0.49285591747086
"max_regfile_access",6,8,11,11," max number accesses of arch. regfile",6,11,5,2.44948974278318,0.489897948556636
"sim_total_stores",2551798,2604055,2690911,2693942," total number of stores executed",2551798,2693942,142144,69474.7928028576,0.488763456796331
"mem.ptab_misses",456843,456803,456695,456709," total first level page table misses",456695,456843,148,71.9699011161379,0.48628311564958
"sim_total_branches",3811685,3879704,4040195,4023118," total number of branches executed",3811685,4040195,228510,111117.009782481,0.48626760221645
"ul2.accesses",75723,75764,75825,75828," total number of accesses",75723,75828,105,50.7740090991444,0.483561991420423
"total_dcache2_access",75723,75764,75825,75828," total number accesses of dcache2",75723,75828,105,50.7740090991444,0.483561991420423
"dcache2_power_cc2",159362.6672,159448.9536,159577.331,159583.6447," total power usage of dcache2_cc2",159362.6672,159583.6447,220.977500000008,106.856312174854,0.483561956193956
"total_window_access",107625437,100256536,99530743,99704588," total number accesses of instruction window",99530743,107625437,8094694,3909670.33925513,0.482991739929283
"LSQ_count",35727509,43847126,54618725,55088301," cumulative LSQ occupancy",35727509,55088301,19360792,9310649.59723457,0.480902310051912
"RUU_count",92517693,122264600,160939115,162763299," cumulative RUU occupancy",92517693,162763299,70245606,33714493.6752228,0.479951638188199
"avg_sim_slip",6.3279,7.7388,9.5548,9.6437," the average slip between issue and retirement",6.3279,9.6437,3.3158,1.58987565761184,0.479484787264562
"sim_slip",162810823,199111373,245835697,248124032," total number of slip cycles",162810823,248124032,85313209,40906237.2337393,0.479483045043345
"bpred_bimod.ras_rate.PP",0.9996,0.9995,0.9994,0.9994," RAS prediction rate (i.e., RAS hits/used RAS)",0.9994,0.9996,0.000200000000000089,9.57427107756813e-05,0.478713553878193
"max_lsq_access",3,4,5,5," max number accesses of load/store queue",3,5,2,0.957427107756338,0.478713553878169
"bpred_bimod.bpred_jr_rate",0.9995,0.9994,0.9993,0.9993," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.9993,0.9995,0.000200000000000089,9.57427107756716e-05,0.478713553878145
"lsq_latency",1.3805,1.6661,2.0117,2.0299," avg LSQ occupant latency (cycle's)",1.3805,2.0299,0.6494,0.310083617754953,0.477492481914003
"ruu_latency",3.5748,4.6458,5.9276,5.9975," avg RUU occupant latency (cycle's)",3.5748,5.9975,2.4227,1.1556806893919,0.47702178948772
"ruu_occupancy",3.4547,8.2362,13.6599,13.9413," avg RUU occupancy (insn's)",3.4547,13.9413,10.4866,4.99183919437516,0.476020749754463
"window_power_cc1",48908964.5957,27450064.4274,23304753.42,23009853.0231," total power usage of instruction window_cc1",23009853.0231,48908964.5957,25899111.5726,12328186.0436425,0.476008067268419
"alu_power_cc3",71147083.3121,53581677.3988,49625695.7796,49453774.3837," total power usage of alu_cc3",49453774.3837,71147083.3121,21693308.9284,10307894.180861,0.475164679343421
"regfile_power_cc3",12441152.7165,9845915.1351,9161314.0299,9168734.0693," total power usage of arch. regfile_cc3",9161314.0299,12441152.7165,3279838.6866,1558007.05076162,0.47502551181159
"issue_stage_power_cc1",273220258.9175,177841884.5125,152505427.6085,153092230.7916," total power usage of issue stage_cc1",152505427.6085,273220258.9175,120714831.309,57267409.0628388,0.474402427952274
"lsq_occupancy",1.3341,2.9537,4.6358,4.7185," avg LSQ occupancy (insn's)",1.3341,4.7185,3.3844,1.6054415059935,0.474365177282087
"bpred_power_cc3",19011060.2821,13716758.4756,12369363.4496,12321197.5812," total power usage of bpred unit_cc3",12321197.5812,19011060.2821,6689862.7009,3170980.59106577,0.473997858078488
"sim_CPI",1.0409,0.577,0.4579,0.4538," cycles per instruction",0.4538,1.0409,0.5871,0.278262238425075,0.47396054918255
"dcache2_power",112721263.8624,62483398.9022,49591078.4672,49140743.1369," total power usage of dcache2",49140743.1369,112721263.8624,63580520.7255,30133297.1844783,0.473939137972377
"regfile_power",95672235.5655,53032819.6702,42090455.5104,41708233.1477," total power usage of arch. regfile",41708233.1477,95672235.5655,53964002.4178,25575652.7873021,0.473939137969981
"clock_power",698900782.1359,387413118.6758,307477421.2939,304685226.602," total power usage of clock",304685226.602,698900782.1359,394215555.5339,186834180.56298,0.473939137967156
"dcache_power",162956229.9794,90329533.0211,71691665.9329,71040635.7266," total power usage of dcache",71040635.7266,162956229.9794,91915594.2528,43562397.5056475,0.47393913796429
"total_power",1922516723.118,1065685171.0012,845800290.3778,838119599.3149," total power per cycle",838119599.3149,1922516723.118,1084397123.8031,513938238.061976,0.473939137960398
"issue_stage_power",929285790.5469,515119621.4781,408833994.5634,405121383.3895," total power usage of issue stage",405121383.3895,929285790.5469,524164407.1574,248422027.275364,0.473939137955939
"lsq_power",25794346.2911,14298264.3614,11348075.8463,11245024.2564," total power usage of load/store queue",11245024.2564,25794346.2911,14549322.0347,6895493.14293808,0.473939137953809
"icache_power",66333492.9169,36769833.474,29183042.6802,28918032.2071," total power usage of icache",28918032.2071,66333492.9169,37415460.7098,17732651.1949156,0.473939137952965
"alu_power",507252272.6561,281178945.5373,223162750.3422,221136215.0449," total power usage of alu",221136215.0449,507252272.6561,286116057.6112,135601597.698703,0.473939137952789
"falu_power",382452110.5889,211999998.6973,168257629.2593,166729685.978," total power usage of falu",166729685.978,382452110.5889,215722424.6109,102239299.957173,0.473939137952776
"sim_cycle",26780401,14844852,11781885,11674894," total simulation time in cycles",11674894,26780401,15105507,7159090.96591902,0.473939137952736
"fetch_stage_power",187464631.5322,103914975.3858,82473997.7116,81725053.4225," total power usage of fetch stage",81725053.4225,187464631.5322,105739578.1097,50114124.4967935,0.473939137952701
"window_power",59032557.9434,32722795.5245,25971037.8913,25735195.5525," total power usage of instruction window",25735195.5525,59032557.9434,33297362.3909,15780923.2276406,0.473939137952664
"bpred_power",121131138.6152,67145141.9118,53290955.0315,52807021.2155," total power usage of bpred unit",52807021.2155,121131138.6152,68324117.3997,32381473.3017866,0.473939137952608
"rename_power",11193283.3375,6204635.7913,4924421.2986,4879702.7532," total power usage of rename unit",4879702.7532,11193283.3375,6313580.5843,2992252.93951577,0.47393913795234
