"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"mem.ptab_miss_rate",0.0026,0.0026,0.0024,0.0024," first level page table miss rate",0.0024,0.0026,2e-04,0.000115470053837925,0.577350269189626
"mem.ptab_misses",505925,505763,456695,456695," total first level page table misses",456695,505925,49230,28376.2654519583,0.576401898272563
"bpred_bimod.retstack_pushes",342163,342143,341568,341568," total number of address pushed onto ret-addr stack",341568,342163,595,337.84858541463,0.567812748596017
"bpred_bimod.lookups",4219793,4216749,4137659,4137079," total number of bpred lookups",4137079,4219793,82714,46725.9199017704,0.564909445822599
"sim_total_branches",4109046,4103432,4040195,4040154," total number of branches executed",4040154,4109046,68892,38211.1567422832,0.554653032896173
"rename_power_cc2",2879285.9739,2874288.4652,2837044.3968,2836085.8974," total power usage of rename unit_cc2",2836085.8974,2879285.9739,43200.0765,23314.9595705292,0.539697182492933
"dispatch_stage_power_cc2",2879285.9739,2874288.4652,2837044.3968,2836085.8974," total power usage of dispatch stage_cc2",2836085.8974,2879285.9739,43200.0765,23314.9595705292,0.539697182492933
"sim_total_insn",27555251,27507424,27150992,27141819," total number of instructions executed",27141819,27555251,413432,223128.085452429,0.539697182251082
"total_rename_access",27555251,27507424,27150992,27141819," total number accesses of rename unit",27141819,27555251,413432,223128.085452429,0.539697182251082
"sim_total_loads",6868097,6857696,6816022,6815063," total number of loads executed",6815063,6868097,53034,27670.3906549944,0.521748136195542
"alu_power_cc2",33270748.0527,33340945.1386,34105191.1246,34233333.7007," total power usage of alu_cc2",33270748.0527,34233333.7007,962585.647999998,502049.449219555,0.521563406085144
"ruu_full",0.7702,0.7341,0.5865,0.5909," fraction of time (cycle's) RUU was full",0.5865,0.7702,0.1837,0.0955286824292404,0.520025489544041
"il1.hits",28124171,28030058,27679103,27671075," total number of hits",27671075,28124171,453096,235290.852228152,0.519295805366085
"il1.accesses",28148130,28052877,27701912,27693884," total number of accesses",27693884,28148130,454246,235697.532179663,0.518876406571908
"itlb.accesses",28148130,28052877,27701912,27693884," total number of accesses",27693884,28148130,454246,235697.532179663,0.518876406571908
