"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"max_lsq_access",4,4,5,5," max number accesses of load/store queue",4,5,1,0.577350269189626,0.577350269189626
"mem.ptab_miss_rate",5e-04,5e-04,4e-04,4e-04," first level page table miss rate",4e-04,5e-04,1e-04,5.77350269189626e-05,0.577350269189626
"mem.ptab_misses",2090,2088,1718,1718," total first level page table misses",1718,2090,372,214.198506063885,0.575802435655604
"bpred_bimod.jr_hits",8363,8357,8357,8357," total number of address-predicted hits for JR's",8357,8363,6,3,0.5
"bpred_bimod.bpred_dir_rate",0.9017,0.9022,0.9022,0.9022," branch direction-prediction rate (i.e., all-hits/updates)",0.9017,0.9022,0.000500000000000056,0.000250000000000028,0.5
"bpred_bimod.bpred_jr_rate",0.867,0.8664,0.8664,0.8664," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.8664,0.867,0.000600000000000045,0.000300000000000022,0.5
"bpred_bimod.ras_hits.PP",3264,3258,3258,3258," total number of RAS hits",3258,3264,6,3,0.5
"bpred_bimod.ras_rate.PP",0.9834,0.9816,0.9816,0.9816," RAS prediction rate (i.e., RAS hits/used RAS)",0.9816,0.9834,0.00180000000000002,0.000900000000000012,0.5
"il1.misses",1881,1882,1882,1882," total number of misses",1881,1882,1,0.5,0.5
"il1.replacements",1411,1412,1412,1412," total number of replacements",1411,1412,1,0.5,0.5
"il1.miss_rate",0.0024,0.0022,0.0022,0.0022," miss rate (i.e., misses/ref)",0.0022,0.0024,2e-04,9.99999999999998e-05,0.5
"dl1.writebacks",9912,9913,9913,9913," total number of writebacks",9912,9913,1,0.5,0.5
"ul2.miss_rate",0.233,0.2329,0.2329,0.2329," miss rate (i.e., misses/ref)",0.2329,0.233,0.000100000000000017,5.00000000000084e-05,0.5
"ul2.wb_rate",0.0404,0.0403,0.0403,0.0403," writeback rate (i.e., wrbks/ref)",0.0403,0.0404,9.99999999999959e-05,4.9999999999998e-05,0.5
"dtlb.miss_rate",6e-04,5e-04,5e-04,5e-04," miss rate (i.e., misses/ref)",5e-04,6e-04,9.99999999999999e-05,5e-05,0.5
"max_dcache_access",3,4,4,4," max number accesses of dcache",3,4,1,0.5,0.5
"avg_fetch_power_cc1",2.9041,3.2387,3.1706,2.9393," average power of fetch unit per cycle_cc1",2.9041,3.2387,0.3346,0.166332024877953,0.497107067776309
"bpred_bimod.retstack_pushes",3691,3762,3764,3764," total number of address pushed onto ret-addr stack",3691,3764,73,36.1789533661032,0.495602100905523
"avg_regfile_power_cc1",2.8408,2.683,2.3997,2.3746," avg power usage of arch. regfile_cc1",2.3746,2.8408,0.4662,0.225981553450719,0.484730916882708
