"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"bpred_bimod.addr_hits",1449,1449,1445,1445," total number of address-predicted hits",1445,1449,4,2.3094010767585,0.577350269189626
"bpred_bimod.dir_hits",1643,1643,1660,1660," total number of direction-predicted hits (includes addr-hits)",1643,1660,17,9.81495457622364,0.577350269189626
"bpred_bimod.misses",250,250,233,233," total number of misses",233,250,17,9.81495457622364,0.577350269189626
"bpred_bimod.jr_hits",157,157,156,156," total number of address-predicted hits for JR's",156,157,1,0.577350269189626,0.577350269189626
"bpred_bimod.bpred_addr_rate",0.7655,0.7655,0.7633,0.7633," branch address-prediction rate (i.e., addr-hits/updates)",0.7633,0.7655,0.00219999999999998,0.00127017059221717,0.577350269189626
"bpred_bimod.bpred_dir_rate",0.8679,0.8679,0.8769,0.8769," branch direction-prediction rate (i.e., all-hits/updates)",0.8679,0.8769,0.00900000000000001,0.00519615242270664,0.577350269189626
"bpred_bimod.bpred_jr_rate",0.5065,0.5065,0.5032,0.5032," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.5032,0.5065,0.00329999999999997,0.00190525588832575,0.577350269189626
"bpred_bimod.ras_hits.PP",123,123,122,122," total number of RAS hits",122,123,1,0.577350269189626,0.577350269189626
"bpred_bimod.ras_rate.PP",0.6308,0.6308,0.6256,0.6256," RAS prediction rate (i.e., RAS hits/used RAS)",0.6256,0.6308,0.00519999999999998,0.00300222139978604,0.577350269189626
"dl1.repl_rate",0.0446,0.0446,0.045,0.045," replacement rate (i.e., repls/ref)",0.0446,0.045,0.000399999999999998,0.000230940107675849,0.577350269189626
"dl1.wb_rate",0.0374,0.0374,0.0376,0.0376," writeback rate (i.e., wrbks/ref)",0.0374,0.0376,0.000199999999999999,0.000115470053837924,0.577350269189626
"max_cycle_power_cc1",31.259,31.2133,35.4439,35.0862," maximum cycle power usage of cc1",31.2133,35.4439,4.2306,2.33074051894814,0.55092434145231
"LSQ_fcount",29,62,162,162," cumulative LSQ full count",29,162,133,68.5972545611946,0.515768831287177
"lsq_full",0.0015,0.004,0.0115,0.0115," fraction of time (cycle's) LSQ was full",0.0015,0.0115,0.01,0.00515388203202208,0.515388203202208
"dl1.misses",555,556,559,559," total number of misses",555,559,4,2.06155281280883,0.515388203202208
"dl1.replacements",99,100,103,103," total number of replacements",99,103,4,2.06155281280883,0.515388203202208
"max_regfile_access",6,7,10,10," max number accesses of arch. regfile",6,10,4,2.06155281280883,0.515388203202208
"bpred_bimod.retstack_pops",203,212,241,244," total number of address popped off of ret-addr stack",203,244,41,20.5750658160146,0.501830873561332
"avg_clock_power_cc2",1.9929,2.0065,2.0496,2.0542," avg power usage of clock_cc2",1.9929,2.0542,0.0612999999999999,0.0307023343303621,0.500853741115206
"dl1.writebacks",83,84,86,86," total number of writebacks",83,86,3,1.5,0.5
"ul2.misses",524,525,527,527," total number of misses",524,527,3,1.5,0.5
"max_rename_access",1,2,4,4," max number accesses of rename unit",1,4,3,1.5,0.5
"max_window_access",10,12,16,16," max number accesses of instruction window",10,16,6,3,0.5
"max_icache_access",1,2,4,4," max number accesses of icache",1,4,3,1.5,0.5
"max_dcache_access",2,4,4,4," max number accesses of dcache",2,4,2,1,0.5
"max_dcache2_access",3,4,4,4," max number accesses of dcache2",3,4,1,0.5,0.5
"mem.ptab_miss_rate",0.0022,0.0021,0.0019,0.0019," first level page table miss rate",0.0019,0.0022,3e-04,0.00015,0.5
"dtlb.miss_rate",0.0077,0.0076,0.0074,0.0074," miss rate (i.e., misses/ref)",0.0074,0.0077,3e-04,0.00015,0.5
"dtlb.accesses",2222,2245,2292,2294," total number of accesses",2222,2294,72,35.6218565864648,0.494748008145345
