"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"max_lsq_access",5,5,6,6," max number accesses of load/store queue",5,6,1,0.577350269189626,0.577350269189626
"LSQ_fcount",456062,1572316,11658612,12342586," cumulative LSQ full count",456062,12342586,11886524,6365483.12910329,0.535520992436754
"lsq_full",0.0023,0.0115,0.1006,0.1074," fraction of time (cycle's) LSQ was full",0.0023,0.1074,0.1051,0.0562549257102582,0.535251433970106
"window_power_cc2",121142093.3475,121047502.4722,124160262.544,124942905.4011," total power usage of instruction window_cc2",121047502.4722,124942905.4011,3895402.92889999,2021559.50699839,0.518960308829787
"RUU_fcount",1837365,4734449,26053920,29331917," cumulative RUU full count",1837365,29331917,27494552,14204123.7014545,0.516615935457123
"ruu_full",0.0092,0.0346,0.2249,0.2552," fraction of time (cycle's) RUU was full",0.0092,0.2552,0.246,0.12697906323485,0.516175053800203
"resultbus_power_cc2",74050925.2777,74380697.7693,79574231.3247,81058879.1953," total power usage of resultbus_cc2",74050925.2777,81058879.1953,7007953.91759999,3576569.06063108,0.510358530133707
"lsq_latency",1.4696,1.616,2.0057,2.0166," avg LSQ occupant latency (cycle's)",1.4696,2.0166,0.547,0.276964262135027,0.506333203171896
"ul2.miss_rate",0.0602,0.0602,0.0605,0.0602," miss rate (i.e., misses/ref)",0.0602,0.0605,0.000300000000000002,0.000150000000000001,0.5
"ul2.repl_rate",0.0596,0.0596,0.0599,0.0596," replacement rate (i.e., repls/ref)",0.0596,0.0599,0.000300000000000002,0.000150000000000001,0.5
"itlb.miss_rate",6e-04,5e-04,5e-04,5e-04," miss rate (i.e., misses/ref)",5e-04,6e-04,9.99999999999999e-05,5e-05,0.5
"itlb.repl_rate",6e-04,5e-04,5e-04,5e-04," replacement rate (i.e., repls/ref)",5e-04,6e-04,9.99999999999999e-05,5e-05,0.5
"max_rename_access",1,2,4,4," max number accesses of rename unit",1,4,3,1.5,0.5
"max_window_access",11,13,17,17," max number accesses of instruction window",11,17,6,3,0.5
"max_regfile_access",6,8,12,12," max number accesses of arch. regfile",6,12,6,3,0.5
"max_icache_access",1,2,4,4," max number accesses of icache",1,4,3,1.5,0.5
"max_resultbus_access",7,8,8,8," max number accesses of resultbus",7,8,1,0.5,0.5
"LSQ_count",219674107,257023622,337114799,340565673," cumulative LSQ occupancy",219674107,340565673,120891566,60005452.9383249,0.496357644488821
"dtlb.misses",20747,20820,20960,20964," total number of misses",20747,20964,217,107.292046924893,0.494433395967247
"dtlb.replacements",20619,20692,20832,20836," total number of replacements",20619,20836,217,107.292046924893,0.494433395967247
"avg_sim_slip",6.6329,7.6164,9.4191,9.4646," the average slip between issue and retirement",6.6329,9.4646,2.8317,1.39691172352921,0.49331204701388
"sim_slip",962051598,1104712682,1366175338,1372771155," total number of slip cycles",962051598,1372771155,410719557,202612171.988235,0.493310261308631
"ruu_latency",3.8031,4.5118,5.6616,5.68," avg RUU occupant latency (cycle's)",3.8031,5.68,1.8769,0.920421162204202,0.490394353563963
"RUU_count",568477292,717594628,951583081,959248774," cumulative RUU occupancy",568477292,959248774,390771482,190375607.215276,0.487178865358643
"itlb.misses",88324,89066,90242,90202," total number of misses",88324,90242,1918,932.34668087216,0.486103587524588
"itlb.replacements",88260,89002,90178,90138," total number of replacements",88260,90178,1918,932.34668087216,0.486103587524588
"dl1.writebacks",420933,421789,422893,422909," total number of writebacks",420933,422909,1976,955.352639953785,0.483478056656774
"ul2.misses",413919,418695,424742,424954," total number of misses",413919,424954,11035,5303.33985962305,0.480592646998011
"ul2.replacements",409823,414599,420646,420858," total number of replacements",409823,420858,11035,5303.33985962305,0.480592646998011
"lsq_occupancy",1.096,1.8788,2.9101,2.9632," avg LSQ occupancy (insn's)",1.096,2.9632,1.8672,0.895939597573408,0.47983054711515
"ruu_occupancy",2.8361,5.2456,8.2144,8.3462," avg RUU occupancy (insn's)",2.8361,8.3462,5.5101,2.63846338156006,0.478841288100045
"window_power_cc1",304102025.7334,193482038.7623,171844422.978,171949082.9554," total power usage of instruction window_cc1",171844422.978,304102025.7334,132257602.7554,63327930.1501969,0.478822607024845
"dl1.wb_rate",0.0081,0.008,0.0079,0.0079," writeback rate (i.e., wrbks/ref)",0.0079,0.0081,0.000199999999999999,9.57427107756332e-05,0.478713553878169
"sim_total_stores",17616686,18080937,18760734,18834006," total number of stores executed",17616686,18834006,1217320,580290.765167127,0.476695334971189
"issue_stage_power_cc1",1550307221.7375,1018593959.4022,888538271.6262,890284229.6807," total power usage of issue stage_cc1",888538271.6262,1550307221.7375,661768950.1113,314863515.901717,0.47579070587818
