"metric","C1","C2","C4","desc","min","max","range","sd","index"
"avg_dcache2_power_cc1",0.0288,0.0288,0.0285," avg power usage of dcache2_cc1",0.0285,0.0288,0.000299999999999998,0.000173205080756887,0.577350269189626
"avg_dcache2_power_cc3",0.0615,0.0615,0.0614," avg power usage of dcache2_cc3",0.0614,0.0615,9.99999999999959e-05,5.77350269189602e-05,0.577350269189626
"sim_total_insn",11421,11421,11427," total number of instructions executed",11421,11427,6,3.46410161513775,0.577350269189626
"sim_total_refs",2526,2526,2527," total number of loads and stores executed",2526,2527,1,0.577350269189626,0.577350269189626
"sim_total_loads",1539,1539,1541," total number of loads executed",1539,1541,2,1.15470053837925,0.577350269189626
"sim_total_stores",987,987,986," total number of stores executed",986,987,1,0.577350269189626,0.577350269189626
"sim_total_branches",2135,2135,2137," total number of branches executed",2135,2137,2,1.15470053837925,0.577350269189626
"ifq_full",0.3041,0.3038,0.3038," fraction of time (cycle's) IFQ was full",0.3038,0.3041,0.000299999999999967,0.000173205080756869,0.577350269189626
"LSQ_fcount",168,168,167," cumulative LSQ full count",167,168,1,0.577350269189626,0.577350269189626
"lsq_full",0.0113,0.0113,0.0111," fraction of time (cycle's) LSQ was full",0.0111,0.0113,0.000199999999999999,0.000115470053837924,0.577350269189626
"bpred_bimod.lookups",2247,2247,2248," total number of bpred lookups",2247,2248,1,0.577350269189626,0.577350269189626
"il1.accesses",11438,11438,11446," total number of accesses",11438,11446,8,4.61880215351701,0.577350269189626
"il1.hits",11100,11100,11108," total number of hits",11100,11108,8,4.61880215351701,0.577350269189626
"il1.miss_rate",0.0296,0.0296,0.0295," miss rate (i.e., misses/ref)",0.0295,0.0296,0.000100000000000003,5.77350269189642e-05,0.577350269189626
"itlb.accesses",11438,11438,11446," total number of accesses",11438,11446,8,4.61880215351701,0.577350269189626
"itlb.hits",11427,11427,11435," total number of hits",11427,11435,8,4.61880215351701,0.577350269189626
"rename_power_cc1",1685.6548,1685.6548,1686.9087," total power usage of rename unit_cc1",1685.6548,1686.9087,1.25389999999993,0.723939502536832,0.577350269189626
"icache_power_cc1",11312.1929,11312.1929,11317.1468," total power usage of icache_cc1",11312.1929,11317.1468,4.95390000000043,2.86013549853874,0.577350269189626
"dcache_power_cc1",11406.1568,11406.1568,11403.1144," total power usage of dcache_cc1",11403.1144,11406.1568,3.04240000000027,1.75653045898267,0.577350269189626
"dcache2_power_cc1",428.0598,428.0598,427.5755," total power usage of dcache2_cc1",427.5755,428.0598,0.484300000000019,0.279610735368547,0.577350269189626
"fetch_stage_power_cc1",18546.9336,18546.9336,18551.8875," total power usage of fetch stage_cc1",18546.9336,18551.8875,4.95390000000043,2.86013549853874,0.577350269189626
"dispatch_stage_power_cc1",1685.6548,1685.6548,1686.9087," total power usage of dispatch stage_cc1",1685.6548,1686.9087,1.25389999999993,0.723939502536832,0.577350269189626
"rename_power_cc2",1193.396,1193.396,1194.0229," total power usage of rename unit_cc2",1193.396,1194.0229,0.626899999999978,0.361940883754964,0.577350269189626
"icache_power_cc2",11312.1929,11312.1929,11317.1468," total power usage of icache_cc2",11312.1929,11317.1468,4.95390000000043,2.86013549853874,0.577350269189626
"avg_lsq_power_cc2",0.037,0.037,0.0366," avg power usage of instruction lsq_cc2",0.0366,0.037,0.000399999999999998,0.000230940107675849,0.577350269189626
"fetch_stage_power_cc2",15593.332,15593.332,15598.2859," total power usage of fetch stage_cc2",15593.332,15598.2859,4.95390000000043,2.86013549853874,0.577350269189626
"dispatch_stage_power_cc2",1193.396,1193.396,1194.0229," total power usage of dispatch stage_cc2",1193.396,1194.0229,0.626899999999978,0.361940883754964,0.577350269189626
"total_rename_access",11421,11421,11427," total number accesses of rename unit",11421,11427,6,3.46410161513775,0.577350269189626
"total_icache_access",12554,12554,12565," total number accesses of icache",12554,12565,11,6.35085296108588,0.577350269189626
"avg_dcache2_access",0.0659,0.0659,0.0652," avg number accesses of dcache2",0.0652,0.0659,0.000700000000000006,0.000404145188432742,0.577350269189626
"mem.ptab_misses",455,455,457," total first level page table misses",455,457,2,1.15470053837925,0.577350269189626
"mem.ptab_accesses",225184,225184,225208," total page table accesses",225184,225208,24,13.856406460551,0.577350269189626
"clock_power_cc2",29750.5917,29848.0447,29849.2694," total power usage of clock_cc2",29750.5917,29849.2694,98.6777000000002,56.6213675455647,0.573801046696109
"RUU_fcount",2701,2702,2758," cumulative RUU full count",2701,2758,57,32.6241219549789,0.572353016754015
"IFQ_fcount",4516,4517,4562," cumulative IFQ full count",4516,4562,46,26.2741951985847,0.571178156490973
"IFQ_count",20904,20908,21086," cumulative IFQ occupancy",20904,21086,182,103.94229168149,0.571111492755441
"ifq_latency",1.8303,1.8307,1.8453," avg IFQ occupant latency (cycle's)",1.8303,1.8453,0.0149999999999999,0.00854712427272077,0.569808284848055
"RUU_count",80810,80841,81883," cumulative RUU occupancy",80810,81883,1073,610.744627483533,0.569193501848587
"sim_slip",99915,99942,100832," total number of slip cycles",99915,100832,917,521.810629762688,0.569041035728122
"avg_sim_slip",10.7147,10.7176,10.8131," the average slip between issue and retirement",10.7147,10.8131,0.0983999999999998,0.0559928864529537,0.569033398912132
"ruu_latency",7.0756,7.0783,7.1657," avg RUU occupant latency (cycle's)",7.0756,7.1657,0.0901000000000005,0.0512576173200956,0.568896973585964
"LSQ_count",18567,18574,18721," cumulative LSQ occupancy",18567,18721,154,86.961677383393,0.564686216775279
"lsq_latency",1.6257,1.6263,1.6383," avg LSQ occupant latency (cycle's)",1.6257,1.6383,0.0126000000000002,0.0071077422575668,0.56410652837831
"avg_resultbus_access",0.6525,0.652,0.6457," avg number accesses of resultbus",0.6457,0.6525,0.00679999999999992,0.00378989885529061,0.557338066954508
"avg_alu_access",0.6925,0.6919,0.6852," avg number accesses of alu",0.6852,0.6925,0.00729999999999997,0.00405257120027929,0.555146739764288
"avg_rename_power_cc1",0.1135,0.1134,0.1123," avg power usage of rename unit_cc1",0.1123,0.1135,0.00120000000000001,0.000665832811847942,0.554860676539949
"avg_dispatch_power_cc1",0.1135,0.1134,0.1123," average power of dispatch unit per cycle_cc1",0.1123,0.1135,0.00120000000000001,0.000665832811847942,0.554860676539949
"avg_alu_power_cc3",2.5619,2.5613,2.5549," avg power usage of alu_cc3",2.5549,2.5619,0.00700000000000012,0.00387986254052047,0.554266077217201
"ul2.replacements",420,427,495," total number of replacements",420,495,75,41.4286535302963,0.552382047070618
"avg_bpred_power_cc2",0.2883,0.288,0.2851," avg power usage of bpred unit_cc2",0.2851,0.2883,0.00319999999999998,0.00176729548557486,0.552279839242147
"avg_total_power_cycle_cc2",5.5014,5.5085,5.4329," average total power per cycle_cc2",5.4329,5.5085,0.0755999999999997,0.0417492914111525,0.552239304380326
