PFlock,10.0,160K,69.266,8.344,77.61,229234,7135,28,529,16:33:05.654
PFlock,20.0,160K,46.107,8.979,55.086,531344,41314,28,529,16:34:03.247
PFlock,30.0,160K,53.123,11.126,64.249,879724,118304,28,529,16:35:10.977
PFlock,40.0,160K,61.083,14.491,75.574,1281430,271297,28,529,16:36:32.244
PFlock,50.0,160K,75.161,18.34,93.501,1720770,502989,28,529,16:38:16.321
PFlock,60.0,160K,84.752,20.911,105.663,2200784,815071,28,529,16:40:18.842
PFlock,70.0,160K,96.489,25.904,122.393,2723892,1211964,28,529,16:42:47.936
PFlock,80.0,160K,108.029,27.258,135.287,3293358,1694406,28,529,16:45:49.600
PFlock,90.0,160K,113.139,39.853,152.992,3914498,2267421,28,529,16:49:27.580
PFlock,100.0,160K,126.361,46.746,173.107,4599964,2936755,28,529,16:53:52.162
