"metric","desc"
"max_lsq_access"," max number accesses of load/store queue"
"LSQ_fcount"," cumulative LSQ full count"
"lsq_full"," fraction of time (cycle's) LSQ was full"
"window_power_cc2"," total power usage of instruction window_cc2"
"RUU_fcount"," cumulative RUU full count"
"ruu_full"," fraction of time (cycle's) RUU was full"
"resultbus_power_cc2"," total power usage of resultbus_cc2"
"lsq_latency"," avg LSQ occupant latency (cycle's)"
"ul2.miss_rate"," miss rate (i.e., misses/ref)"
"ul2.repl_rate"," replacement rate (i.e., repls/ref)"
"itlb.miss_rate"," miss rate (i.e., misses/ref)"
"itlb.repl_rate"," replacement rate (i.e., repls/ref)"
"max_rename_access"," max number accesses of rename unit"
"max_window_access"," max number accesses of instruction window"
"max_regfile_access"," max number accesses of arch. regfile"
"max_icache_access"," max number accesses of icache"
"max_resultbus_access"," max number accesses of resultbus"
"LSQ_count"," cumulative LSQ occupancy"
"dtlb.misses"," total number of misses"
"dtlb.replacements"," total number of replacements"
"avg_sim_slip"," the average slip between issue and retirement"
"sim_slip"," total number of slip cycles"
"ruu_latency"," avg RUU occupant latency (cycle's)"
"RUU_count"," cumulative RUU occupancy"
"itlb.misses"," total number of misses"
"itlb.replacements"," total number of replacements"
"dl1.writebacks"," total number of writebacks"
"ul2.misses"," total number of misses"
"ul2.replacements"," total number of replacements"
"lsq_occupancy"," avg LSQ occupancy (insn's)"
"ruu_occupancy"," avg RUU occupancy (insn's)"
"window_power_cc1"," total power usage of instruction window_cc1"
"dl1.wb_rate"," writeback rate (i.e., wrbks/ref)"
"sim_total_stores"," total number of stores executed"
"issue_stage_power_cc1"," total power usage of issue stage_cc1"
"dl1.misses"," total number of misses"
"dl1.replacements"," total number of replacements"
"avg_rename_power_cc1"," avg power usage of rename unit_cc1"
"avg_dispatch_power_cc1"," average power of dispatch unit per cycle_cc1"
"dcache_power_cc1"," total power usage of dcache_cc1"
"issue_stage_power_cc3"," total power usage of issue stage_cc3"
"resultbus_power_cc1"," total power usage of resultbus_cc1"
"alu_power_cc1"," total power usage of alu_cc1"
"rename_power_cc3"," total power usage of rename unit_cc3"
