id,tags,lon,lat
26412241,"shop=supermarket,name:en=ParkNShop (Peak Galleria)",-727607.576067369,2512333.63631789
26466687,amenity=pub,-65737.144394621,3363447.42056986
26466690,"amenity=pub,name:en=Maya",-65480.6907087017,3364134.18568005
26466717,amenity=pub,-61189.2883719679,3362555.34129586
26484067,amenity=parking,-65748.3494233086,3359156.83818014
26488397,"amenity=cafe,name:en=Starbucks",-64758.6595641028,3364843.62027897
26607397,amenity=restaurant,-63449.5236124868,3361023.47129964
26882571,"amenity=fuel,name:en=Sinopec",-64517.7142340408,3367488.92447102
26932786,"amenity=fuel,name:en=Sinopec",-60843.6688328821,3365846.16210334
27117771,amenity=pub,-65638.2572549942,3363934.59573984
27181039,"amenity=cafe,name:en=Starbucks",-62686.3406153971,3362704.11640486
27181040,"amenity=cafe,name:en=Starbucks",-62773.2588839596,3363103.01586046
27246222,"amenity=restaurant,name:en=New White Deer Restaurant",-62984.0964777985,3363947.50760504
27262495,"amenity=fast_food,name:en=McDonald's",-62678.9725143389,3362939.38664093
27262500,"amenity=fast_food,name:en=KFC",-62543.1297553628,3363095.07490381
27262504,"amenity=fast_food,name:en=KFC",-62620.7551165471,3363061.87760935
27262508,"amenity=fast_food,name:en=McDonald's",-65277.810562207,3364384.68852456
27262513,"amenity=fast_food,name:en=KFC",-66170.913779046,3365787.87254387
27262517,"amenity=restaurant,name:en=Chuan Wei Guan",-61980.578202843,3363451.94953999
27446997,"amenity=bus_station,name:en=Hangzhou West Bus Station",-69565.5633025697,3364138.23749985
27448351,"amenity=fast_food,name:en=McDonald's",-62599.3045613371,3364833.88835032
27556062,amenity=parking,-70358.3974319241,3356266.37662965
28111892,amenity=ferry_terminal,-81682.4780873543,3340830.21163947
28583924,"amenity=pub,name:en=7 Club",-64375.7062305314,3364525.97759433
28785018,amenity=pub,-62714.9013310206,3362886.13196815
29054991,"amenity=bus_station,name:en=Hangzhou North Bus Station",-67152.7750484978,3370317.36555765
30067210,"amenity=pub,name:en=Tent Bar",-64000.0405782656,3359282.22532406
30076322,"amenity=nightclub,name:en=SOS",-65189.7407806948,3364874.4183609
31213451,amenity=hospital,-2980591.61854339,3851060.08272874
31213452,amenity=hospital,-2980260.13143253,3853976.55206054
31213454,amenity=hospital,-2980458.66030328,3852687.57418562
32751743,"amenity=cafe,name:en=Starbucks",-62667.2433612073,3364836.56811634
32945314,"amenity=toilets,name:en=Yuen Kong San Tsuen Public Toilet",-734186.694473028,2529883.23858516
33616632,"amenity=cafe,name:en=Starbucks",-61757.5599302222,3363543.0567469
33616635,"amenity=fast_food,name:en=Pizza Hut",-62787.4600189175,3363507.87370763
33616636,amenity=nightclub,-62063.8530746343,3363460.91866601
33616637,"amenity=nightclub,name:en=Boiling",-62998.5444690222,3363497.78861012
33616639,"amenity=pub,name:en=Common's Place",-62716.5329532853,3364850.50002159
33616644,amenity=restaurant,-62200.9461340737,3364802.67290569
33616645,"amenity=fast_food,name:en=KFC",-62189.9930174641,3364808.56068618
33616646,"amenity=restaurant,name:en=Chuan Wei Guan",-62240.2377806703,3365634.55282324
33616647,"amenity=fast_food,name:en=KFC",-62603.6273041629,3366622.99286925
33616648,"amenity=fast_food,name:en=McDonald's",-62622.9110222581,3366668.16314603
33616860,"amenity=fast_food,name:en=Pizza Hut",-65311.9984158449,3364355.17730226
33616861,amenity=cafe,-66192.1131139793,3365734.28597601
33616862,"amenity=fast_food,name:en=Pizza Hut",-66228.6248233393,3365734.53242602
33706351,amenity=atm,-60763.9676127681,3365991.86671513
33993013,amenity=restaurant,-65316.5716242654,3364183.46524823
34111073,"amenity=cafe,name:en=Starbucks",-63518.1670198403,3366472.37863106
34111091,"amenity=fast_food,name:en=Pizza Hut",-63489.3667606376,3366392.0780121
34111096,amenity=restaurant,-62941.3960598904,3363396.59473455
34111100,amenity=pub,-62951.4139344482,3363421.24945262
34711921,"amenity=restaurant,name:en=Be For Time",-62153.1826838689,3363095.97847041
35278378,"amenity=hospital,name:en=Zhejiang Provincial People's Hospital",-62038.2102056572,3366495.12330923
35278382,"amenity=restaurant,name:en=Yuanlu Sushi",-66034.2118277191,3365744.58858602
35278399,"shop=electronics,name:en=Gome",-66098.0159182795,3365739.508809
35309168,"amenity=fast_food,name:en=McDonald's",-64093.9250092182,3365830.13122476
35363868,"shop=convenience,name:en=Kedi",-66256.8698251536,3365734.33856411
35363869,"amenity=bank,name:en=Agricultural Bank of China",-66275.9079377026,3365728.33944589
35363873,"amenity=fuel,name:en=Sinopec",-64030.0055465018,3365121.45727071
36724034,"amenity=fast_food,name:en=Pizza Hut",-62517.5116134884,3364225.92331241
36724035,amenity=pub,-62997.0324526391,3363502.15707509
36724036,amenity=pub,-62992.741340957,3363506.01441266
46585854,"amenity=restaurant,name:en=Be For Time",-62319.0569549978,3364826.36862754
46585943,amenity=restaurant,-62250.0601653067,3364861.86012744
46664962,"amenity=bank,name:en=China Construction Bank",-61092.6645704051,3365593.69684849
46664996,"amenity=bank,name:en=Agricultural Bank of China",-61044.9695920915,3365572.71082605
48533743,"amenity=fuel,name:en=Sinopec",-61068.7636782761,3366864.62189984
48533800,"amenity=pub,name:en=Travellers",-65807.217469627,3363283.2154598
52609680,"amenity=fast_food,name:en=KFC",-61987.8163071778,3362656.21911293
60170164,"amenity=restaurant,shop=books",-317025.581738352,4465886.51709074
63252122,amenity=ferry_terminal,-305597.540906552,2732483.10040593
68215773,amenity=hospital,77715.5851013269,3467151.62269149
68522234,"amenity=cafe,name:en=Manabe Caffee",64277.090147445,3464457.94253554
71005318,amenity=Green Hills Gate,78702.0140164429,3465128.7726355
72107486,"amenity=restaurant,name:en=New White Deer Restaurant",-62378.7438473782,3364704.48882163
73808580,amenity=bench,-711956.013263316,2522604.33273191
74504353,amenity=ferry_terminal,-817070.466570118,2682293.83949099
76116915,amenity=ferry_terminal,-827358.220301732,2544751.20478455
76204352,amenity=ferry_terminal,-814392.793022248,2684099.76236121
77069747,amenity=ferry_terminal,-823067.606134625,2546209.48381136
77230352,amenity=ferry_terminal,-814130.076045522,2683852.97236238
78625941,"amenity=embassy,name:en=Belgian Embassy",63723.3629259152,3464044.90928032
84929170,amenity=ferry_terminal,-99214.7308201423,3583322.65006018
85882346,"amenity=fast_food,name:en=KFC",-63478.3522039488,3366361.36359722
100576736,"amenity=hospital,name:en=Dental Clinic",78785.1853399157,3466261.41107563
107369226,amenity=restaurant,-64550.9847493133,3371800.95682644
107369347,"shop=doityourself,name:en=B&Q",-63804.3818862318,3369626.28775677
107369454,shop=houseware,-63799.4948308298,3369558.95681519
107369619,"amenity=fast_food,name:en=KFC",-63764.8595088363,3369397.43161796
107386472,"amenity=fuel,name:en=Sinopec",-60816.1311481922,3362146.2178653
125708911,"shop=supermarket,name:en=Walmart",-60884.8914083377,3369001.69442829
136469638,"shop=supermarket,name:en=Tesco",-60943.0133723133,3364588.91892914
136469675,"shop=supermarket,name:en=Carrefour",-62606.0943594665,3362340.02012108
136469846,"amenity=restaurant,name:en=Liu Family Spicy Restaurant",-63980.1026526032,3364401.55334211
