"did","pid"
1,1
1,2
2,15
2,16
3,11
3,15
4,11
4,15
4,16
5,1
5,2
6,5
6,11
7,3
7,5
8,3
8,5
8,11
9,3
9,5
9,7
9,11
10,3
10,5
10,7
10,11
11,11
11,15
11,16
12,11
12,15
12,16
13,11
13,16
14,5
14,7
14,11
15,3
15,5
15,7
15,11
16,7
16,11
17,5
17,7
17,11
18,3
18,5
18,7
18,10
19,5
19,7
19,10
20,3
20,5
20,6
20,7
20,10
21,3
21,5
21,6
21,7
21,10
22,5
22,7
22,10
22,12
23,3
23,5
23,7
24,5
24,6
24,7
24,10
24,12
25,7
25,10
25,12
26,7
26,12
27,3
27,5
27,6
27,7
28,5
28,6
28,7
28,10
28,12
29,7
29,10
29,12
30,3
30,6
30,7
31,3
31,5
31,6
31,7
31,10
32,3
32,6
33,3
33,6
33,7
34,3
34,6
34,7
34,10
35,3
35,5
35,6
35,7
35,10
36,6
36,7
36,10
37,5
37,6
37,7
37,10
37,12
38,6
38,7
38,10
38,12
39,12
39,17
40,6
40,7
40,10
40,12
41,12
41,14
41,17
42,10
42,12
42,14
43,12
43,14
43,17
44,6
44,10
44,12
44,14
45,6
45,10
45,12
46,6
46,10
46,12
46,14
47,6
47,10
47,12
47,14
48,12
48,14
48,17
49,6
49,12
49,14
50,6
50,12
51,12
51,14
52,14
52,17
53,4
53,9
54,9
54,13
55,4
55,8
55,9
56,8
56,9
56,13
57,4
57,8
57,9
57,13
58,13
58,18
59,4
59,8
59,9
60,8
60,9
60,13
61,4
61,8
61,9
61,13
62,4
62,8
62,9
63,8
63,9
63,13
64,13
64,18
65,4
65,8
66,8
66,13
