"id1","id2","lng1","lat1","lng2","lat2"
2,1,116.329107002743,39.9746845244637,116.328629908088,39.9745136830858
15,11,116.329479008523,39.9760528992775,116.328884569819,39.9756536083835
16,11,116.329497351771,39.9760522560009,116.328931559354,39.9757882515319
16,15,116.329470908816,39.9760121503693,116.328398063645,39.9763217541127
11,5,116.330037642282,39.9756622186436,116.329321268881,39.9751732884261
11,7,116.329994088073,39.9757845103288,116.329583821955,39.9751699979493
11,3,116.330020882376,39.9754867301213,116.329341028575,39.9751697770131
7,5,116.330332438186,39.974933571946,116.329680865166,39.9756433341629
7,6,116.330502637105,39.9756811039318,116.330420670015,39.9749678045603
5,3,116.330467239012,39.9751450927794,116.329330068869,39.9751338117394
7,3,116.33047661768,39.974997965126,116.329539686523,39.9753999400196
6,5,116.330388705293,39.9749915043314,116.330315600408,39.9755384047534
10,5,116.330423354999,39.975040516043,116.330145949179,39.9756323921871
10,7,116.330504883541,39.9750163554075,116.330283421335,39.9757755523492
10,6,116.331199984529,39.9756296807229,116.330279326237,39.975115225274
6,3,116.330463123241,39.9749413080436,116.330244180913,39.9754096007393
10,3,116.330479485229,39.9750227302614,116.33009281808,39.975471177668
12,5,116.330475997506,39.9752617667333,116.330237905978,39.9755904419799
12,7,116.330660586636,39.9751931768326,116.330272316934,39.9757780309251
12,6,116.331353092348,39.9754525619362,116.33027081497,39.9754716428599
12,10,116.331223684298,39.9753048406204,116.330265219455,39.9757623643955
17,14,116.331466557287,39.976333619037,116.331048753013,39.9759012896271
17,12,116.331203634837,39.9759561323343,116.330499272078,39.975997073898
14,6,116.33129951216,39.9755374154378,116.331136790759,39.9756684929381
14,10,116.331222166966,39.9755865808882,116.331079136131,39.9757623280717
9,4,116.333972834899,39.9753732865938,116.332943773863,39.9751176189015
9,8,116.333551546,39.97582961619,116.333479059939,39.9749582915215
14,12,116.331375798962,39.9755031963355,116.33107010456,39.9760250119808
8,4,116.334102268018,39.9751208295764,116.333058036386,39.9753580753412
13,4,116.333947833439,39.975395340257,116.33313880579,39.9754255657823
13,8,116.334128032513,39.9756262337333,116.333072608285,39.9754916715028
13,9,116.333973585696,39.9754139527447,116.332983351143,39.9757159523786
18,13,116.333878743042,39.9761048896475,116.333260896477,39.9761110170134
